model,id,title,main_picture_medium,main_picture_large,alternative_titles_en,alternative_titles_ja,synopsis,mean,authors,genres,,
book.book,125036,The Horizon,https://api-cdn.myanimelist.net/images/manga/1/229331.jpg,https://api-cdn.myanimelist.net/images/manga/1/229331l.jpg,The Horizon,수평선,"In a world ravaged by war, a young boy walks down a lonely road in the aftermath of his mother's death. Along his journey, he witnesses military tanks, dead bodies, and his beloved city in ruins. With eyes clouded by anguish, he pushes himself to keep moving forward.One morning, he meets a girl in an abandoned bus where he spent the night. Moments after their encounter, the area turns into a battlefield, and the pair escapes into a long abandoned lane. The two strangers decide to walk together to the end of the road, thus beginning a companionship that will ignite new hope inside their shriveled hearts.[Written by MAL Rewrite]",8.75,Ji-Hoon Jeong,"Adventure, Drama, Psychological",,
book.book,107931,Blue Period,https://api-cdn.myanimelist.net/images/manga/2/204827.jpg,https://api-cdn.myanimelist.net/images/manga/2/204827l.jpg,Blue Period,ブルーピリオド,"Second-year high school student Yatora Yaguchi is bored with his normal life. He studies well and plays around with his friends, but in truth, he does not enjoy either of those activities. Bound by norms, he secretly envies those who do things differently.That is until he discovers the joy of drawing. When he sees a painting made by a member of the Art Club, Yatora becomes fascinated with the colors used in it. Later, in an art exercise, he tries to convey his language without words but instead through painting. After that experience, Yatora finds himself so invested in art that he decides that it is what he wants to do for a living. But there stand multiple obstacles in his way: his parents who are hesitant over his unique choices, his more experienced peers, and the study of a subject much deeper than he initially expected.[Written by MAL Rewrite]",8.73,Tsubasa Yamaguchi,"School, Drama, Seinen",,
book.book,44347,One Punch-Man,https://api-cdn.myanimelist.net/images/manga/3/80661.jpg,https://api-cdn.myanimelist.net/images/manga/3/80661l.jpg,One-Punch Man,ワンパンマン,"After rigorously training for three years, the ordinary Saitama has gained immense strength which allows him to take out anyone and anything with just one punch. He decides to put his new skill to good use by becoming a hero. However, he quickly becomes bored with easily defeating monsters, and wants someone to give him a challenge to bring back the spark of being a hero.Upon bearing witness to Saitama's amazing power, Genos, a cyborg, is determined to become Saitama's apprentice. During this time, Saitama realizes he is neither getting the recognition that he deserves nor known by the people due to him not being a part of the Hero Association. Wanting to boost his reputation, Saitama decides to have Genos register with him, in exchange for taking him in as a pupil. Together, the two begin working their way up toward becoming true heroes, hoping to find strong enemies and earn respect in the process.[Written by MAL Rewrite]",8.73,"Yusuke Murata,  ONE","Action, Comedy, Sci-Fi, Supernatural, Parody, Super Power, Seinen",,
book.book,4,Yokohama Kaidashi Kikou,https://api-cdn.myanimelist.net/images/manga/1/171813.jpg,https://api-cdn.myanimelist.net/images/manga/1/171813l.jpg,,ヨコハマ買い出し紀行,"In a post-apocalyptic world where an environmental disaster led to the eruption of Mt. Fuji and the inundation of Yokohama, the age of humans is in its twilight. Alpha Hatsuseno is an android and the namesake of a small cafe outside Yokohama. As her owner is away on a trip indefinitely, she has been left responsible for running the cafe. Although she rarely gets any customers, Alpha remains outgoing and cheerful.While Alpha awaits her owner's homecoming, she explores the vicinity with her scooter and camera. Throughout her journeys, she meets new people and other androids, making memories along the way.Yokohama Kaidashi Kikou is a beautiful, laid-back story centered around Alpha's daily activities, emphasizing the passing of time in everyday life.[Written by MAL Rewrite]",8.72,Hitoshi Ashinano,"Drama, Sci-Fi, Seinen, Slice of Life",,
book.book,21,Death Note,https://api-cdn.myanimelist.net/images/manga/2/54453.jpg,https://api-cdn.myanimelist.net/images/manga/2/54453l.jpg,Death Note,DEATH NOTE,"Ryuk, a god of death, drops his Death Note into the human world for personal pleasure. In Japan, prodigious high school student Light Yagami stumbles upon it. Inside the notebook, he finds a chilling message: those whose names are written in it shall die. Its nonsensical nature amuses Light; but when he tests its power by writing the name of a criminal in it, they suddenly meet their demise. Realizing the Death Note's vast potential, Light commences a series of nefarious murders under the pseudonym ""Kira,"" vowing to cleanse the world of corrupt individuals and create a perfect society where crime ceases to exist. However, the police quickly catch on, and they enlist the help of L—a mastermind detective—to uncover the culprit.Death Note tells the thrilling tale of Light and L as they clash in a great battle-of-minds, one that will determine the future of the world.[Written by MAL Rewrite]",8.71,"Takeshi Obata, Tsugumi Ohba","Drama, Mystery, Supernatural, Psychological, Shounen",,
book.book,1859,Natsume Yuujinchou,https://api-cdn.myanimelist.net/images/manga/4/154023.jpg,https://api-cdn.myanimelist.net/images/manga/4/154023l.jpg,Natsume's Book of Friends,夏目友人帳,"Takashi Natsume is a 15-year-old boy who wants nothing more but to live a normal life like everyone else. But to his dismay, like his deceased grandmother, Reiko, he possesses the ability to see “youkai,” or spirits. Natsume eventually discovers that Reiko had bequeathed to him a book of contracts in which she had bound youkai—the “Book of Friends.” However, without Reiko ever calling upon the spirits’ names, they have been left in a confined state. Now, these spirits continuously pursue Natsume in the hopes of having their contracts dissolved for freedom.While there may be gentle, harmless spirits which come to Natsume for help, there are also malicious, hostile spirits that threaten him. This is where Madara steps in, a spirit disguised as a rotund cat. Commonly referred to as Nyanko-sensei by Natsume, Madara is a self-proclaimed bodyguard who has his own motives for accompanying Natsume.Natsume Yuujinchou is a supernatural slice-of-life series about a boy who struggles to live a normal life while balancing the spirit and human worlds and acquiring important life lessons along the way.[Written by MAL Rewrite]",8.71,Yuki Midorikawa,"Drama, Shoujo, Supernatural",,
book.book,104039,86,https://api-cdn.myanimelist.net/images/manga/3/194315.jpg,https://api-cdn.myanimelist.net/images/manga/3/194315l.jpg,86—Eighty-Six,86―エイティシックス―,"Nine years ago, the Empire of Giad declared war on all neighboring countries using an army of autonomous drones known as the Legion. Threatened by the soulless killing machines, the Republic of San Magnolia, home to the silver-haired Alba race, evacuated its citizens inside 85 districts and developed supposedly unmanned drones known as Juggernauts to counter the Legion. Even after years of war, the Republic boasts that they have suffered zero casualties. However, the battlefield bathed in crimson recites a different melody...The hand dealt to the Colorata people—a minority forced into living in the ""nonexistent"" 86th district—is one of utter contempt and scorn. Looked upon as human filth, they are ordered to pilot the Juggernauts as Processors under the command of Republican Handlers.Vladilena Milizé, a republican soldier with a strong sense of justice, detests the way her countrymen treat the 86. When she is assigned to the Spearhead Squadron as their handler, she meets a group of oddballs and eventually grows attached to them—particularly their captain, Shinei Nouzen, a boy with a pure sense of purpose and resolve. However, the path they walk is one riddled with death, and growing close to an 86 may have just set Vladilena down a path of despair.[Written by MAL Rewrite]",8.71," Shirabi, Asato Asato","Action, Drama, Sci-Fi, Military",,
book.book,116778,Chainsaw Man,https://api-cdn.myanimelist.net/images/manga/3/216464.jpg,https://api-cdn.myanimelist.net/images/manga/3/216464l.jpg,Chainsaw Man,チェンソーマン,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.Unfortunately, he has outlived his usefulness and is murdered by a devil in contract with the yakuza. However, in an unexpected turn of events, Pochita merges with Denji's dead body and grants him the powers of a chainsaw devil. Now able to transform parts of his body into chainsaws, a revived Denji uses his new abilities to quickly and brutally dispatch his enemies. Catching the eye of the official devil hunters who arrive at the scene, he is offered work at the Public Safety Bureau as one of them. Now with the means to face even the toughest of enemies, Denji will stop at nothing to achieve his simple teenage dreams.[Written by MAL Rewrite]",8.71,Tatsuki Fujimoto,"Action, Adventure, Demons, Shounen",,
book.book,70261,Mushoku Tensei: Isekai Ittara Honki Dasu,https://api-cdn.myanimelist.net/images/manga/3/120337.jpg,https://api-cdn.myanimelist.net/images/manga/3/120337l.jpg,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,"Killed while saving a stranger from a traffic collision, a 34-year-old NEET is reincarnated into a world of magic as Rudeus Greyrat, a newborn baby. With knowledge, experience, and regrets from his previous life retained, Rudeus vows to lead a fulfilling life and not repeat his past mistakes.Now gifted with a tremendous amount of magical power as well as the mind of a grown adult, Rudeus is seen as a genius in the making by his new parents. Soon, he finds himself studying under powerful warriors, such as his swordsman father and a mage named Roxy Migurdia—all in order to hone his apparent talents. But despite his innocent exterior, Rudeus is still a perverted otaku, who uses his wealth of knowledge to make moves on women whom he could never make in his previous life.[Written by MAL Rewrite]",8.71," Rifujin na Magonote,  Sirotaka",Fantasy,,
book.book,664,Akira,https://api-cdn.myanimelist.net/images/manga/2/157929.jpg,https://api-cdn.myanimelist.net/images/manga/2/157929l.jpg,Akira,AKIRA,"1988: It is World War III. Tokyo is decimated by a mysterious black explosion, unmatched in magnitude.2019: Fast forward 31 years. Neo-Tokyo, hastily built on the ruins of old Tokyo, is a sprawling cityscape of neon extravaganza. It is a fusion of towering skyscrapers and cutting-edge technology that is permeated through and through with an explosive, hyper-violent cocktail of biker gangs, poverty, and revolutionaries. In this derelict metropolis live Tetsuo Shima and Shoutarou Kaneda, two bikers who are the best of friends and the fiercest of rivals, despite being affiliated with the same gang. Desperate to prove himself as Kaneda's equal, Tetsuo unwittingly pulls a stunt that culminates in the awakening of a cryptic existence that threatens to change both the face of Neo-Tokyo and the lives of those who call the city their home—the awakening of a government secret simply known as Akira. [Written by MAL Rewrite]",8.7,Katsuhiro Otomo,"Action, Sci-Fi, Seinen",,
book.book,26,Hunter x Hunter,https://api-cdn.myanimelist.net/images/manga/2/253119.jpg,https://api-cdn.myanimelist.net/images/manga/2/253119l.jpg,Hunter x Hunter,HUNTER×HUNTER,"""Secret treasure hoards, undiscovered wealth... mystical places, unexplored frontiers... 'The mysterious unknown.' There's magic in such words for those captivated by its spell. They are called 'Hunters'!""Gon Freecss wants to become a Hunter so he can find his father, a man who abandoned him to pursue a life of adventure. But it's not that simple: only one in one hundred thousand can pass the Hunter Exam, and that is just the first obstacle on his journey. During the Hunter Exam, Gon befriends many other potential Hunters, such as the mysterious Killua; the revenge-driven Kurapika; and Leorio, who aims to become a doctor. There's a world of adventure and peril awaiting, and those who embrace it with open arms can become the greatest Hunters of them all![Written by MAL Rewrite]",8.69,Yoshihiro Togashi,"Action, Adventure, Fantasy, Super Power, Shounen",,
book.book,72467,Shoujo Shuumatsu Ryokou,https://api-cdn.myanimelist.net/images/manga/1/185918.jpg,https://api-cdn.myanimelist.net/images/manga/1/185918l.jpg,Girls' Last Tour,少女終末旅行,"Amidst a post-apocalyptic world, Chito and Yuuri seem to be the final survivors of the war that brought civilization to its demise. No longer having a place to live, the girls roam around the city on their half-track motorcycle, ever in search of resources to sustain their vagabond lifestyle. Despite the bleak future ahead of them, the duo still finds ways to entertain themselves throughout this melancholic journey. Shoujo Shuumatsu Ryokou takes place in a barren world during the harsh winter season. As the happy-go-lucky Yuuri and the serious Chito hopelessly search for a sign of civilization, their expedition may in fact become humanity's last tour.[Written by MAL Rewrite]",8.68, Tsukumizu,"Adventure, Slice of Life",,
book.book,88660,Yagate Kimi ni Naru,https://api-cdn.myanimelist.net/images/manga/1/232311.jpg,https://api-cdn.myanimelist.net/images/manga/1/232311l.jpg,Bloom Into You,やがて君になる,"Yuu Koito has always enjoyed romance manga and love songs. She clings to them with the hope that she will one day experience a love story of her own—one that will sweep her off her feet and make her heart flutter. However, reality is often disappointing. When a classmate from junior high confesses his feelings to her, Yuu finds that she feels nothing. Unable to give him an answer, she becomes convinced that she is unable to fall in love.One day, on her way to the student council room, Yuu encounters the council's president, Touko Nanami, turning down a confession from a boy. Inspired by Touko's confidence, Yuu turns to her for help. But when Touko becomes the next person to confess to Yuu, she is confused, yet her heart is set aflutter.Yagate Kimi ni Naru is a manga about grappling with love and growing up. Will Yuu's long-awaited romance finally begin?[Written by MAL Rewrite]",8.68,Nio Nakatani,"Drama, School, Girls Love",,
book.book,45143,Kono Oto Tomare!,https://api-cdn.myanimelist.net/images/manga/3/116653.jpg,https://api-cdn.myanimelist.net/images/manga/3/116653l.jpg,,この音とまれ！,"Following the graduation of every other member of the Koto Music Club, Takezou Kurata is left alone as the new club president. Now burdened with the arduous task of rebuilding membership, he struggles to recruit anyone due to a lack of interest. Just as Kurata has lost nearly all hope in keeping the club alive, the feared delinquent Chika Kudou appears, claiming he will join and become the club president himself.At first, Kurata refuses to admit such a troublesome person, aware of the dark rumors that have been circulating about Kudou. However, after discovering a more vulnerable side to Kudou and his mysterious connection to the club, Kurata rethinks his decision. The soon-to-be defunct club is saved with the help of koto prodigy Satowa Houzuki, who uses her charms to recruit Kudou's lively friends Saneyasu Adachi, Michitaka Sakai, and Kouta Mizuhara.With sufficient numbers to retain the club's status, Houzuki declares that they will aim to become the best koto players in the nation, much to Kurata's dismay. This ragtag bunch of young musicians have a road filled with challenges and adversities ahead of them, and by overcoming their fears and differences, their aspirations may very well come true.[Written by MAL Rewrite]",8.68,Amyuu Sakura,"Drama, School, Shounen",,
book.book,126479,Mikkakan no Koufuku,https://api-cdn.myanimelist.net/images/manga/3/248674.jpg,https://api-cdn.myanimelist.net/images/manga/3/248674l.jpg,Three Days of Happiness,三日間の幸福,"Kusunoki used to believe he was destined for great things. Ostracized as a child, he held on to a belief that a good life was waiting for him in the years ahead. Now approaching the age of twenty, he's a completely mediocre college student with no motivation, no dreams, and no money. After learning he can sell his remaining years—and just how little they're worth—he chooses to divest himself of all but his last three months. Has Kusunoki truly destroyed his last chance to find happiness...or has he somehow found it?(Source: Yen Press)",8.68,Sugaru Miaki,Drama,,
book.book,7,Hajime no Ippo,https://api-cdn.myanimelist.net/images/manga/2/250313.jpg,https://api-cdn.myanimelist.net/images/manga/2/250313l.jpg,,はじめの一歩,"Makunouchi Ippo is a 16-year-old high school student who helps his mother run the family business. His hefty workload impedes on his social life, making him an easy target for bullies. One day, while being beaten up by a group of high school students, Ippo is saved by a boxer named Mamoru Takamura, and is brought to the Kamogawa Boxing Gym. This afterschool bullying session turns his life around for the better as Ippo discovers his latent talent for boxing and decides to practice the sport professionally. However, Mamoru doubts Ippo's determination and assigns him a task deemed impossible to complete, but the resolute Ippo trains tirelessly to fulfill his mission. Along the way, he finds out what it means to attain true strength while making new friends and fighting formidable foes.[Written by MAL Rewrite]",8.67,George Morikawa,"Action, Comedy, Drama, Sports, Shounen",,
book.book,145,Beck,https://api-cdn.myanimelist.net/images/manga/3/171795.jpg,https://api-cdn.myanimelist.net/images/manga/3/171795l.jpg,BECK: Mongolian Chop Squad,BECK,"Yukio ""Koyuki"" Tanaka wasted away his middle school days listening to Japanese pop music and apathetically trudging through life—until a casual run-in with the enigmatic guitarist Ryuusuke ""Ray"" Minami. Through this encounter, Koyuki realizes what he has been missing all this time as Ray introduces him to western rock music and jumpstarts his desire to play guitar.Although various struggles plague his path to rock fame, Koyuki refuses to abandon the passion that gave his life purpose, balancing it together with school, work, and friends. Beck tells the story of the love and trial that accompanies pursuing a professional career in music as Koyuki and Ray work toward realizing the guitarist's dream of the ultimate band.[Written by MAL Rewrite]",8.67,Harold Sakuishi,"Comedy, Drama, Romance, Slice of Life, Music, Shounen",,
book.book,1133,Dorohedoro,https://api-cdn.myanimelist.net/images/manga/2/143111.jpg,https://api-cdn.myanimelist.net/images/manga/2/143111l.jpg,Dorohedoro,ドロヘドロ,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Caiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.Set in a gritty world of hellish design, Dorohedoro manages a healthy blend of comedy and lightheartedness with death and carnage. Taking plenty of twists and turns while following the lives of Hole's residents, it weaves a unique world of unearthly origin and dreary appearance not for the squeamish or easily disturbed.[Written by MAL Rewrite]",8.67,Q Hayashida,"Action, Fantasy, Comedy, Horror, Seinen",,
book.book,904,Kozure Ookami,https://api-cdn.myanimelist.net/images/manga/1/159264.jpg,https://api-cdn.myanimelist.net/images/manga/1/159264l.jpg,Lone Wolf & Cub,子連れ狼,"Ittou Ogami has very little left to live for. Though once the Shogunate's chief executioner, his name is left in ruins after being framed for treason by the treacherous Yagyuu Clan, seeking to steal his position of power. His misfortune does not end here, however; they culminate in the brutal murder of his entire family, including his wife Azami, with only his child Daigorou still left alive.With dishonor upon his head and his beloved wife in the grave, Ittou takes up a new mantle as an assassin for hire. Alongside his young son, Ittou wanders the country in search of revenge, with only the complete destruction of the Yagyuu Clan on his mind. As he travels the land, the number of his successful assassinations quickly grows, and soon the moniker of ""Lone Wolf and Cub"" becomes infamous across the land as the choice assassin to get the job done right.[Written by MAL Rewrite]",8.66,"Kazuo Koike, Goseki Kojima","Action, Samurai, Historical, Seinen",,
book.book,78523,ReLIFE,https://api-cdn.myanimelist.net/images/manga/2/171573.jpg,https://api-cdn.myanimelist.net/images/manga/2/171573l.jpg,ReLIFE,ReLIFE,"When the responsibilities of being an adult and the ugly side of corporate bullying betrays one's childhood dreams, many would wish to return to their innocent childhood to relive their life and make the right decisions. Dumbfounded by the offer presented to him, 27-year-old Arata Kaizaki hopes to turn his life around through a once-in-a-lifetime opportunity.Returning home from his part-time job, Arata is persuaded by Ryou Yoake, an employee of ReLife Research Institute, into participating in an experiment which will help him overcome his difficulties and re-enter corporate life. As part of the ReLife experiment, Arata's physique is reverted to that of a 17-year-old, and all he must do is relive his high school life for one year. Waiting for him at the end of the experiment is a job offer that he has been struggling to get ever since he left his first company.With few other options, he decides to go along with this plan. However, with adult-like tendencies and many years since his last formal education, Arata steps into an unexpectedly challenging territory—a normal day of high school.[Written by MAL Rewrite]",8.66,Sou Yayoi,"Romance, Comedy, School, Slice of Life, Drama",,
book.book,81669,Overlord,https://api-cdn.myanimelist.net/images/manga/1/160558.jpg,https://api-cdn.myanimelist.net/images/manga/1/160558l.jpg,Overlord,オーバーロード,"Yggdrasil is a virtual reality game renowned for the freedom it offers its players. After a simple tutorial, players are left to explore the world and can customize anything and everything, from their classes to their weapons. However, in the year 2138, the game sees its final hours as its servers shut down at midnight.Momonga, a devoted player of Yggdrasil, decides to spend the game's last hours inside his guild, Ainz Ooal Gown. Strangely, at the stroke of midnight, the game does not log him out. Instead, Momonga finds himself transported to another world, one that is seemingly identical to that of Yggdrasil. Facing an already abnormal situation, he discovers that the NPCs have gained sentience.Trapped in his avatar's skeletal body and desperate to uncover the cause of his predicament and find other players like him, Momonga sets out to take control of the new world with the help of his loyal subjects.[Written by MAL Rewrite]",8.66,"Kugane Maruyama,  so-bin","Action, Fantasy, Game, Supernatural",,
book.book,35513,Koten-bu Series,https://api-cdn.myanimelist.net/images/manga/3/80983.jpg,https://api-cdn.myanimelist.net/images/manga/3/80983l.jpg,,〈古典部〉シリーズ,"Houtarou Oreki is a high school student who lives his life conserving as much energy as possible, only delving into matters that feel absolutely necessary to him. So when his older sister forces him to join the Classics Club to keep it from disbanding, he finds himself terribly inconvenienced.To his surprise, Oreki finds that the Classics Club already has a single member: the inquisitive Eru Chitanda. Not long after, Oreki's friends—the knowledgeable Satoshi Fukube and the headstrong Mayaka Ibara—also join. Although the club does not have any set activities, Chitanda's constant curiosity soon begins to drag the members into all sorts of mystery-solving escapades.Koten-bu Series revolves around the members of the Classics Club as their eccentric day-to-day activities slowly begin to brighten up Oreki's drab way of life.[Written by MAL Rewrite]",8.66,Honobu Yonezawa,"Adventure, Mystery, School",,
book.book,756,Banana Fish,https://api-cdn.myanimelist.net/images/manga/5/215997.jpg,https://api-cdn.myanimelist.net/images/manga/5/215997l.jpg,Banana Fish,BANANA FISH,"Ash Lynx is a beauty, a genius—and a murderer. Since childhood, he had been in the care of Dino ""Papa"" Golzine, the mafia boss who turned him into the ruthless killer he is now. At first, Ash was just a pretty face for Golzine’s pleasure, but now estranged from him, a 17-year-old Ash runs his own gang with an iron fist.Eiji Okumura is a young Japanese photographer. Traveling to New York as an assistant, Eiji is set to work on a report about kids living in the streets. There, he meets teenage gang leader Ash and is mesmerized by the boy—who in turn is curious about Eiji's different lifestyle.But this is the dark underground of New York, and recently a series of murders has surfaced in the city, connected only by the words ""Banana Fish."" With personal stakes in this mysterious battle, it is up to Ash, Eiji and their allies to discover what exactly ""Banana Fish"" is, where it came from and how to get rid of it—before the world as they know it descends into chaos.[Written by MAL Rewrite]",8.64,Akimi Yoshida,"Action, Adventure, Drama, Shoujo",,
book.book,9726,Zaregoto Series,https://api-cdn.myanimelist.net/images/manga/1/157901.jpg,https://api-cdn.myanimelist.net/images/manga/1/157901l.jpg,,戯言シリーズ,"The story revolves around an unnamed protagonist and the murders and mysteries he encounters. He tries in vain to stay out of the story, but instead, he always gets dragged into the center of everything. Even though it seems that he contributes a lot, he always finds out that whatever he did was meaningless in the end.",8.64,"ISIN NISIO,  Take","Action, Supernatural, Mystery, Drama",,
book.book,98930,Violet Evergarden,https://api-cdn.myanimelist.net/images/manga/1/190961.jpg,https://api-cdn.myanimelist.net/images/manga/1/190961l.jpg,,ヴァイオレット・エヴァーガーデン,"""Auto-Memories Dolls"" were created with the purpose of recording one's speech and emotions. First invented by Dr. Orland to bring happiness to his wife, such dolls are now being loaned by companies after knowledge of his work became public. Moved by the work of the Auto-Memories Dolls, a woman named Violet Evergarden decides to take up their duties. Beautiful, with golden hair and crystal-blue eyes, she quickly becomes the most popular doll, leaving all her clients delighted by her company.Violet Evergarden is a compilation of heartwarming short stories revolving around the life of the graceful Auto-Memories Doll as she serves her different clients.[Written by MAL Rewrite]",8.64,"Kana Akatsuki, Akiko Takase","Fantasy, Drama",,
book.book,60553,Kono Subarashii Sekai ni Shukufuku wo!,https://api-cdn.myanimelist.net/images/manga/1/174932.jpg,https://api-cdn.myanimelist.net/images/manga/1/174932l.jpg,Konosuba: God's Blessing on This Wonderful World!,この素晴らしい世界に祝福を！,"Game loving shut-in Kazuma Satou's life as a young schoolboy in Japan abruptly comes to an early end...or at least it was supposed to. When he opens his eyes, though, he sees a beautiful goddess that offers him a once in an after-lifetime chance to be reborn in a parallel world. The catch is that the world is violent and threatened by a growing evil! Fortunately, he can choose any one thing to bring with him. So he chooses the goddess, Aqua! And so his adventure with his gorgeous companion begins—if he could just get enough money and food to survive, keep his goddess out of trouble, and avoid grabbing the attention of the Demon King's army!(Source: Yen Press)",8.63,"Kurone Mishima, Natsume Akatsuki","Adventure, Comedy, Fantasy, Supernatural",,
book.book,81,Aria,https://api-cdn.myanimelist.net/images/manga/2/202644.jpg,https://api-cdn.myanimelist.net/images/manga/2/202644l.jpg,Aria,ARIA,"In the distant future, humanity has terraformed Mars into an oceanic planet to suit their needs. Now known as Aqua, the planet serves as a new home for people discontent with living on Manhome—the planet formerly known as Earth. Being a perfect imitation of Manhome's Venice, the town of Neo-Venezia has inherited all of the rustic charms of the original. Gondolas weave their way through the waterways of the dreamy town while nostalgic alleys await those who travel on foot.Akari Mizunashi, a young Manhome native, has recently made Neo-Venezia her new home. To pursue her dream of becoming a gondolier tour guide—or Undine—Akari joins the Aria Company, one of the most renowned water guide companies in town. As she basks in a simple lifestyle unavailable on Manhome, Akari cheerily ambles through her daily life in Neo-Venezia: the town where magic and miracles abound.[Written by MAL Rewrite]",8.62,Kozue Amano,"Adventure, Comedy, Sci-Fi, Slice of Life, Drama, Shounen",,
book.book,114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",https://api-cdn.myanimelist.net/images/manga/1/211769.jpg,https://api-cdn.myanimelist.net/images/manga/1/211769l.jpg,Will you marry me again if you are reborn?,生まれ変わってもまた、私と結婚してくれますか,"Toranosuke Ibuki and his wife Kaoru née Okouchi have been devotedly in love for what has seemed like their entire lives. Now, twenty years later, Toranosuke is bedridden in a hospital, but still, their love perseveres. Together, the infatuated couple reminisce about days gone by—when he proposed, when they first met, their relationships with those around them, and their blissful married life. Though Toranosuke has always been a bit hard-headed and Kaoru a bit short-tempered, their immense love is shown in the wrinkles on their aged skin and in the unbridled devotion in their eyes. It is so strong that they know they will love each other with the same devotion... even in their next life.[Written by MAL Rewrite]",8.62,Miku Morinaga,Romance,,
book.book,24875,Shinyaku Toaru Majutsu no Index,https://api-cdn.myanimelist.net/images/manga/2/221675.jpg,https://api-cdn.myanimelist.net/images/manga/2/221675l.jpg,,新約 とある魔術の禁書目録,"Having lasted merely two weeks, World War III has come to an end. Both Accelerator and Hamazura Shiage have returned home to the people they cherish most after overcoming their individual conflicts. The world is at peace and Academy City continues on as normal while the magicians focus their efforts on repairing the damage they took from the war.Among this tranquility, however, someone is missing. Someone who used his right hand to save a young girl while changing the tides of war along the way: the ""Imagine Breaker,"" Touma Kamijou. However, the disappearance of the self-proclaimed ordinary high school student has not affected the majority of the world as the temporary peace is soon broken when new threats, both espers and magicians, emerge across the globe. Now, the heroes of World War III must step forth into battle once more, facing off against some of the most powerful enemies imaginable in order to protect the people they hold most dear.[Written by MAL Rewrite]",8.62,"Kazuma Kamachi, Kiyotaka Haimura","Action, Super Power, Fantasy, Supernatural, Comedy, Sci-Fi",,
book.book,103237,Wind Breaker,https://api-cdn.myanimelist.net/images/manga/1/189563.jpg,https://api-cdn.myanimelist.net/images/manga/1/189563l.jpg,Wind Breaker,윈드 브레이커,"Burdened with expectations since childhood, second-year high schooler Jo ""Jay"" Ja Hyun feels obligated to aim for the top through his studies. Despite obtaining the title of student president at Taeyang High, he continues to study diligently, giving him little time to befriend others. However, possessing an exceptional talent for biking with a technique that astonishes other experienced bikers, there is more to him than meets the eye.One afternoon, while Jay is skidding his bike at high speed, he catches the interest of his classmate, Yoon Min Woo. Amazed by his unparalleled biking skill, Min Woo is quick to recruit him to his biking crew, but Jay coldly rejects the offer. With a determination to show Jay the fun of riding with others, Min Woo proposes a simple deal—to race against a member of his team, promising to leave him alone if he wins.[Written by MAL Rewrite]",8.62,Yongseok Jo,"Action, Sports, Drama",,
book.book,105084,Jibaku Shounen Hanako-kun,https://api-cdn.myanimelist.net/images/manga/3/192551.jpg,https://api-cdn.myanimelist.net/images/manga/3/192551l.jpg,Toilet-Bound Hanako-kun,地縛少年 花子くん,"Rumors of the supernatural overrun Kamome Academy, namely the ""Seven Mysteries."" One of these mysteries is the legend of Hanako-san, the ghost of a young girl residing in the girl's bathroom on the third floor of the old school building, who is said to grant any wish her summoner desires. First-year high school student Nene Yashiro daringly summons Hanako-san in desperate need of love, but the Hanako that appears before her is a boy!After Hanako-kun claims that he has no magical items of use, Nene tries various ways to get noticed by her crush. With her desperation reaching its peak, she gets into trouble after consuming a mermaid scale, which turns her into a fish. Hanako-kun rescues her, binding their fates together in the process; in return for this aid, Nene must become his assistant. Now entangled in the supernatural realm, Nene soon discovers that there's much more to the school's Seven Mysteries than basic rumors.[Written by MAL Rewrite]",8.61,Iro Aida,"Supernatural, School, Shounen",,
